prefix	unique_tcid_count	source_file_count	first5	last5
AIOS	131	5	AIOS/SR/CI/BV-01-C, AIOS/SR/CI/BV-02-C, AIOS/SR/CI/BV-03-C, AIOS/SR/CI/BV-04-C, AIOS/SR/CI/BV-05-C	AIOS/SR/SGGIT/CHA/BV-61-C, AIOS/SR/SGGIT/CHA/BV-62-C, AIOS/SR/SGGIT/CHA/BV-63-C, AIOS/SR/SGGIT/SDP/BV-01-C, AIOS/SR/SGGIT/SER/BV-01-C
ANP	18	1	ANP/CL/ANPCF/BV-01-C, ANP/CL/ANPCF/BV-02-C, ANP/CL/ANPCF/BV-03-C, ANP/CL/ANPCF/BV-04-C, ANP/CL/ANPNF/BV-01-C	ANP/CL/CGGIT/CHA/BV-02-C, ANP/CL/CGGIT/CHA/BV-03-C, ANP/CL/CGGIT/CHA/BV-04-C, ANP/CL/CGGIT/CHA/BV-05-C, ANP/CL/CGGIT/SER/BV-01-C
ANS	28	1	ANS/SR/CN/BV-01-C, ANS/SR/CN/BV-02-C, ANS/SR/CR/BV-01-C, ANS/SR/CR/BV-02-C, ANS/SR/CW/BV-01-C	ANS/SR/SP/BV-08-C, ANS/SR/SP/BV-09-C, ANS/SR/SP/BV-10-C, ANS/SR/SP/BV-11-C, ANS/SR/SP/BV-12-C
BAS	7	1	BAS/SR/CN/BV-01-C, BAS/SR/CON/BV-01-C, BAS/SR/CR/BV-01-C, BAS/SR/DEC/BV-01-C, BAS/SR/DES/BV-01-C	BAS/SR/CR/BV-01-C, BAS/SR/DEC/BV-01-C, BAS/SR/DES/BV-01-C, BAS/SR/DES/BV-02-C, BAS/SR/SD/BV-01-C
BCS	17	1	BCS/SR/CI/BV-01-C, BCS/SR/CI/BV-02-C, BCS/SR/CI/BV-03-C, BCS/SR/CI/BV-04-C, BCS/SR/CI/BV-05-C	BCS/SR/CI/BV-13-C, BCS/SR/CI/BV-14-C, BCS/SR/CI/BV-15-C, BCS/SR/CON/BV-01-C, BCS/SR/CR/BV-01-C
BLS	18	1	BLS/SEN/CI/BV-01-C, BLS/SEN/CI/BV-02-C, BLS/SEN/CI/BV-03-C, BLS/SEN/CI/BV-04-C, BLS/SEN/CI/BV-05-C	BLS/SEN/SGGIT/CHA/BV-02-C, BLS/SEN/SGGIT/CHA/BV-03-C, BLS/SEN/SGGIT/CHA/BV-04-C, BLS/SEN/SGGIT/SER/BV-01-C, BLS/SEN/SP/BV-01-C
BMS	15	2	BMS/SEN/CPE/BI-02-C, BMS/SEN/CPP/BV-02-C, BMS/SEN/CPP/BV-06-C, BMS/SEN/CPP/BV-10-C, BMS/SEN/CPP/BV-12-C	BMS/SEN/CPP/BV-24-C, BMS/SEN/CW/BV-04-C, BMS/SEN/SGGIT/CHA/BV-03-C, BMS/SEN/SGGIT/CHA/BV-05-C, BMS/SEN/SGGIT/SER/BV-01-C
CGMS	79	3	CGMS/SEN/CBE/BI-01-C, CGMS/SEN/CBE/BI-02-C, CGMS/SEN/CBE/BI-03-C, CGMS/SEN/CBE/BI-04-C, CGMS/SEN/CBE/BI-05-C	CGMS/SEN/SGGIT/CHA/BV-05-C, CGMS/SEN/SGGIT/CHA/BV-06-C, CGMS/SEN/SGGIT/CHA/BV-07-C, CGMS/SEN/SGGIT/CHA/BV-08-C, CGMS/SEN/SGGIT/SER/BV-01-C
CPS	46	2	CPS/SEN/CN/BI-01-C, CPS/SEN/CN/BV-01-C, CPS/SEN/CN/BV-02-C, CPS/SEN/CN/BV-03-C, CPS/SEN/CN/BV-04-C	CPS/SEN/SPP/BV-10-C, CPS/SEN/SPP/BV-11-C, CPS/SEN/SPP/BV-12-C, CPS/SEN/SPS/BV-01-C, CPS/SEN/SPS/BV-02-C
CSCS	16	1	CSCS/SEN/CN/BV-01-C, CSCS/SEN/CN/BV-03-C, CSCS/SEN/CN/BV-04-C, CSCS/SEN/CON/BV-01-C, CSCS/SEN/CON/BV-02-C	CSCS/SEN/SPE/BI-05-C, CSCS/SEN/SPL/BV-01-C, CSCS/SEN/SPS/BV-01-C, CSCS/SEN/SPS/BV-02-C, CSCS/SEN/SPU/BV-01-C
CTS	17	1	CTS/SR/CCC/BV-01-C, CTS/SR/CCR/BV-01-C, CTS/SR/CCR/BV-02-C, CTS/SR/CCR/BV-03-C, CTS/SR/CCW/BI-01-C	CTS/SR/CSP/BV-05-C, CTS/SR/CSP/BV-06-C, CTS/SR/SGGIT/CHA/BV-02-C, CTS/SR/SGGIT/CHA/BV-04-C, CTS/SR/SGGIT/CHA/BV-05-C
DIS	10	1	DIS/SR/SGGIT/CHA/BV-01-C, DIS/SR/SGGIT/CHA/BV-02-C, DIS/SR/SGGIT/CHA/BV-03-C, DIS/SR/SGGIT/CHA/BV-04-C, DIS/SR/SGGIT/CHA/BV-05-C	DIS/SR/SGGIT/CHA/BV-06-C, DIS/SR/SGGIT/CHA/BV-07-C, DIS/SR/SGGIT/CHA/BV-08-C, DIS/SR/SGGIT/CHA/BV-09-C, DIS/SR/SGGIT/SER/BV-01-C
EPS	12	2	EPS/SR/ECP/ABORT/BV-01-C, EPS/SR/ECP/ABORT/BV-02-C, EPS/SR/ECP/ABORT/BV-03-C, EPS/SR/ECP/ABORT/BV-04-C, EPS/SR/ECP/ERROR/BI-01-C	EPS/SR/ECP/LEPC/NSC/BV-03-C, EPS/SR/ECP/LEPC/NSC/BV-04-C, EPS/SR/ECP/LEPC/NSC/BV-05-C, EPS/SR/ECP/LEPC/NSC/BV-06-C, EPS/SR/GCL/BV-01-C
ESS	39	2	ESS/SEN/CI/BV-01-C, ESS/SEN/CI/BV-02-C, ESS/SEN/CI/BV-03-C, ESS/SEN/CI/BV-04-C, ESS/SEN/CN/BV-01-C	ESS/SEN/DW/BV-03-C, ESS/SEN/DW/BV-04-C, ESS/SEN/SPE/BI-01-C, ESS/SEN/SPE/BI-02-C, ESS/SEN/SPE/BI-03-C
GAP	25	2	GAP/BOND/BON/BV-01-C, GAP/BOND/BON/BV-02-C, GAP/BOND/BON/BV-03-C, GAP/BOND/BON/BV-04-C, GAP/BOND/NBON/BV-01-C	GAP/SEC/CSIGN/BI-02-C, GAP/SEC/CSIGN/BI-03-C, GAP/SEC/CSIGN/BI-04-C, GAP/SEC/CSIGN/BV-01-C, GAP/SEC/CSIGN/BV-02-C
GATT	141	7	GATT/CL/GAC/BV-01-C, GATT/CL/GAD/BV-01-C, GATT/CL/GAD/BV-02-C, GATT/CL/GAD/BV-03-C, GATT/CL/GAD/BV-04-C	GATT/SR/GAW/BV-10-C, GATT/SR/GAW/BV-11-C, GATT/SR/GPA/BV-11-C, GATT/SR/GPA/BV-12-C, GATT/SR/UNS/BI-02-C
GLS	38	3	GLS/SEN/CN/BV-01-C, GLS/SEN/CN/BV-02-C, GLS/SEN/CN/BV-03-C, GLS/SEN/CN/BV-05-C, GLS/SEN/CN/BV-06-C	GLS/SEN/SPR/BV-02-C, GLS/SEN/SPR/BV-05-C, GLS/SEN/SPR/BV-06-C, GLS/SEN/SPR/BV-07-C, GLS/SEN/SPT/BV-01-C
HIDS	40	2	HIDS/HD/CN/BV-01-C, HIDS/HD/CN/BV-02-C, HIDS/HD/CN/BV-03-C, HIDS/HD/CR/BV-01-C, HIDS/HD/CR/BV-02-C	HIDS/SR/SGGIT/CHA/BV-06-C, HIDS/SR/SGGIT/CHA/BV-07-C, HIDS/SR/SGGIT/CHA/BV-09-C, HIDS/SR/SGGIT/DES/BV-01-C, HIDS/SR/SGGIT/SER/BV-01-C
HPS	29	2	HPS/SR/ADV/BV-01-C, HPS/SR/ADV/BV-02-C, HPS/SR/CN/BV-01-C, HPS/SR/CON/BV-01-C, HPS/SR/SGGIT/CHA/BV-01-C	HPS/SR/SP/BV-08-C, HPS/SR/SP/BV-09-C, HPS/SR/SP/BV-10-C, HPS/SR/SP/BV-11-C, HPS/SR/SP/BV-12-C
HRP	17	2	HRP/COL/CGGIT/CHA/BV-01-C, HRP/COL/CGGIT/CHA/BV-02-C, HRP/COL/CGGIT/CHA/BV-03-C, HRP/COL/CGGIT/SER/BV-01-C, HRP/COL/CGGIT/SER/BV-02-C	HRP/COL/HRF/BV-05-C, HRP/COL/HRF/BV-07-C, HRP/COL/HRF/BV-08-C, HRP/SEN/HRF/BV-01-C, HRP/SEN/HRF/BV-02-C
HRS	13	1	HRS/SEN/CN/BV-01-C, HRS/SEN/CN/BV-02-C, HRS/SEN/CN/BV-03-C, HRS/SEN/CN/BV-04-C, HRS/SEN/CN/BV-05-C	HRS/SEN/CW/BV-01-C, HRS/SEN/SGGIT/CHA/BV-01-C, HRS/SEN/SGGIT/CHA/BV-02-C, HRS/SEN/SGGIT/CHA/BV-03-C, HRS/SEN/SGGIT/SER/BV-01-C
HTS	16	1	HTS/SEN/CI/BV-01-C, HTS/SEN/CI/BV-02-C, HTS/SEN/CIN/BV-01-C, HTS/SEN/CIN/BV-02-C, HTS/SEN/CIN/BV-03-C	HTS/SEN/SGGIT/SER/BV-01-C, HTS/SEN/SP/BI-01-C, HTS/SEN/SP/BV-01-C, HTS/SEN/SP/BV-02-C, HTS/SEN/SP/BV-03-C
IAS	4	1	IAS/SR/CW/BV-01-C, IAS/SR/SGGIT/CHA/BV-01-C, IAS/SR/SGGIT/SER/BV-01-C, IAS/SR/SP/BV-01-C	IAS/SR/CW/BV-01-C, IAS/SR/SGGIT/CHA/BV-01-C, IAS/SR/SGGIT/SER/BV-01-C, IAS/SR/SP/BV-01-C
IDS	107	2	IDS/SEN/CBE/BI-01-C, IDS/SEN/CBE/BI-02-C, IDS/SEN/CBE/BI-03-C, IDS/SEN/CBE/BI-04-C, IDS/SEN/CBE/BI-05-C	IDS/SEN/RCPE/BI-02-C, IDS/SEN/RCPE/BI-03-C, IDS/SEN/RCPE/BI-04-C, IDS/SEN/RCPE/BI-05-C, IDS/SEN/SD/BV-01-C
IPS	62	4	IPS/SR/CR/BV-01-C, IPS/SR/CR/BV-02-C, IPS/SR/CR/BV-03-C, IPS/SR/CR/BV-04-C, IPS/SR/CR/BV-05-C	IPS/SR/IP/BV-13-C, IPS/SR/IP/BV-15-C, IPS/SR/IP/BV-16-C, IPS/SR/IPADV/BV-01-C, IPS/SR/SGGIT/SER/BV-01-C
LLS	7	1	LLS/SR/CR/BV-01-C, LLS/SR/CW/BV-01-C, LLS/SR/SGGIT/CHA/BV-01-C, LLS/SR/SGGIT/SER/BV-01-C, LLS/SR/SP/BV-01-C	LLS/SR/SGGIT/CHA/BV-01-C, LLS/SR/SGGIT/SER/BV-01-C, LLS/SR/SP/BV-01-C, LLS/SR/SP/BV-02-C, LLS/SR/SP/BV-03-C
LNS	42	2	LNS/SEN/CN/BV-01-C, LNS/SEN/CN/BV-02-C, LNS/SEN/CN/BV-03-C, LNS/SEN/CN/BV-04-C, LNS/SEN/CN/BV-05-C	LNS/SEN/SPN/BV-06-C, LNS/SEN/SPN/BV-07-C, LNS/SEN/SPN/BV-08-C, LNS/SEN/SPS/BV-01-C, LNS/SEN/SPS/BV-02-C
MESH	304	37	MESH/CFGCL/CFG/AKL/BV-01-C, MESH/CFGCL/CFG/AKL/BV-02-C, MESH/CFGCL/CFG/AKL/BV-03-C, MESH/CFGCL/CFG/AKL/BV-04-C, MESH/CFGCL/CFG/CFGF/BV-01-C	MESH/SR/PROX/BV-10-C, MESH/SR/PROX/BV-11-C, MESH/SR/PROX/BV-12-C, MESH/SR/PROX/BV-13-C, MESH/SR/PROX/BV-14-C
MMDL	379	35	MMDL/CL/GBAT/BV-01-C, MMDL/CL/GDTT/BV-01-C, MMDL/CL/GDTT/BV-02-C, MMDL/CL/GDTT/BV-03-C, MMDL/CL/GLOC/BV-01-C	MMDL/SR/TIMS/BI-01-C, MMDL/SR/TIMS/BV-01-C, MMDL/SR/TIMS/BV-02-C, MMDL/SR/TIMS/BV-03-C, MMDL/SR/TIMS/BV-04-C
NDCS	3	1	NDCS/SR/CR/BV-01-C, NDCS/SR/SGGIT/CHA/BV-01-C, NDCS/SR/SGGIT/SER/BV-01-C	NDCS/SR/CR/BV-01-C, NDCS/SR/SGGIT/CHA/BV-01-C, NDCS/SR/SGGIT/SER/BV-01-C
PASP	12	1	PASP/CL/CGGIT/CHA/BV-01-C, PASP/CL/CGGIT/CHA/BV-02-C, PASP/CL/CGGIT/CHA/BV-03-C, PASP/CL/CGGIT/SER/BV-01-C, PASP/CL/PPCB/BV-01-C	PASP/CL/PPNF/BV-01-C, PASP/CL/PPNF/BV-02-C, PASP/CL/PPWF/BV-01-C, PASP/CL/PPWF/BV-02-C, PASP/CL/PPWF/BV-03-C
PASS	19	2	PASS/SR/CCC/BV-01-C, PASS/SR/CCC/BV-02-C, PASS/SR/CCC/BV-03-C, PASS/SR/CCC/BV-04-C, PASS/SR/CR/BV-01-C	PASS/SR/SP/BV-04-C, PASS/SR/SP/BV-05-C, PASS/SR/SP/BV-06-C, PASS/SR/SP/BV-07-C, PASS/SR/SP/BV-08-C
PLXS	36	1	PLXS/SEN/CI/BV-01-C, PLXS/SEN/CI/BV-02-C, PLXS/SEN/CI/BV-03-C, PLXS/SEN/CI/BV-04-C, PLXS/SEN/CI/BV-05-C	PLXS/SEN/RAE/BI-06-C, PLXS/SEN/RAN/BV-01-C, PLXS/SEN/RAR/BV-01-C, PLXS/SEN/RAR/BV-02-C, PLXS/SEN/SD/BV-01-C
PVNR	11	1	PVNR/PROV/BI-14-C, PVNR/PROV/BV-01-C, PVNR/PROV/BV-02-C, PVNR/PROV/BV-03-C, PVNR/PROV/BV-04-C	PVNR/PROV/BV-06-C, PVNR/PROV/BV-07-C, PVNR/PROV/BV-08-C, PVNR/PROV/BV-09-C, PVNR/PROV/BV-10-C
RSCS	19	1	RSCS/SEN/CN/BV-01-C, RSCS/SEN/CN/BV-02-C, RSCS/SEN/CN/BV-03-C, RSCS/SEN/CN/BV-04-C, RSCS/SEN/CON/BV-01-C	RSCS/SEN/SPE/BI-06-C, RSCS/SEN/SPL/BV-01-C, RSCS/SEN/SPS/BV-01-C, RSCS/SEN/SPS/BV-02-C, RSCS/SEN/SPU/BV-01-C
RTUS	6	1	RTUS/SR/CR/BV-01-C, RTUS/SR/SGGIT/CHA/BV-01-C, RTUS/SR/SGGIT/CHA/BV-02-C, RTUS/SR/SGGIT/SER/BV-01-C, RTUS/SR/SP/BI-01-C	RTUS/SR/SGGIT/CHA/BV-01-C, RTUS/SR/SGGIT/CHA/BV-02-C, RTUS/SR/SGGIT/SER/BV-01-C, RTUS/SR/SP/BI-01-C, RTUS/SR/SP/BV-01-C
SCPS	6	1	SCPS/SR/CN/BV-01-C, SCPS/SR/CON/BV-01-C, SCPS/SR/CW/BV-01-C, SCPS/SR/SGGIT/CHA/BV-01-C, SCPS/SR/SGGIT/CHA/BV-02-C	SCPS/SR/CON/BV-01-C, SCPS/SR/CW/BV-01-C, SCPS/SR/SGGIT/CHA/BV-01-C, SCPS/SR/SGGIT/CHA/BV-02-C, SCPS/SR/SGGIT/SER/BV-01-C
SM	80	3	SM/CEN/EKS/BI-01-C, SM/CEN/EKS/BV-01-C, SM/CEN/JW/BI-01-C, SM/CEN/JW/BI-04-C, SM/CEN/JW/BV-01-C	SM/PER/SCPK/BV-02-C, SM/PER/SCPK/BV-03-C, SM/PER/SIE/BV-01-C, SM/PER/SIP/BV-01-C, SM/SLA/KDU/BI-01-C
TIP	13	1	TIP/CL/CGGIT/CHA/BV-01-C, TIP/CL/CGGIT/CHA/BV-02-C, TIP/CL/CGGIT/CHA/BV-03-C, TIP/CL/CGGIT/CHA/BV-04-C, TIP/CL/CGGIT/CHA/BV-05-C	TIP/CL/CGGIT/SER/BV-03-C, TIP/CL/TPCF/BV-01-C, TIP/CL/TPCN/BV-01-C, TIP/CL/TPNF/BV-01-C, TIP/CL/TPWF/BV-01-C
TPS	2	1	TPS/SR/CR/BV-01-C, TPS/SR/SGGIT/SER/BV-01-C	TPS/SR/CR/BV-01-C, TPS/SR/SGGIT/SER/BV-01-C
UDS	133	1	UDS/SR/CN/BV-01-C, UDS/SR/CON/BV-01-C, UDS/SR/CON/BV-02-C, UDS/SR/CR/BI-01-C, UDS/SR/CR/BI-02-C	UDS/SR/SPE/BI-05-C, UDS/SR/SPE/BI-06-C, UDS/SR/SPE/BI-07-C, UDS/SR/SPU/BV-01-C, UDS/SR/SPU/BV-04-C
WSS	11	1	WSS/SEN/CI/BV-01-C, WSS/SEN/CI/BV-02-C, WSS/SEN/CI/BV-03-C, WSS/SEN/CI/BV-04-C, WSS/SEN/CI/BV-05-C	WSS/SEN/CON/BV-01-C, WSS/SEN/CR/BV-01-C, WSS/SEN/SGGIT/CHA/BV-01-C, WSS/SEN/SGGIT/CHA/BV-02-C, WSS/SEN/SGGIT/SER/BV-01-C
